Year,AIS Annual MB Gt/yr,AIS Annual MB Uncertainty Gt/yr,AIS Cumulative MB Gt,AIS Cumulative MB Uncertainty Gt,AIS Annual MB mm/yr,AIS Annual MB Uncertainty mm/yr,AIS Cumulative MB mm,AIS Cumulative MB Uncertainty mm
1992,-46.55395000000001,96.07613333333335,-19.265175,73.16115833333333,0.1275,-0.2683333333333333,0.05416666666666667,-0.20333333333333334
1993,-80.1828,87.3202,-89.98625,115.85435,0.22,-0.24,0.24916666666666668,-0.3225
1994,-89.2747,86.02889999999998,-175.09381666666664,144.78193333333334,0.25,-0.24,0.48666666666666664,-0.4025
1995,-82.2448,86.55210833333332,-263.793025,168.60719166666667,0.22916666666666666,-0.24,0.7333333333333334,-0.4691666666666667
1996,-52.6261,86.9801,-330.5953333333334,189.65031666666667,0.145,-0.24,0.9183333333333333,-0.5266666666666667
1997,-7.5523,86.0167,-354.97307500000005,208.4384,0.02,-0.24,0.9866666666666667,-0.5791666666666667
1998,-12.9891,86.6594,-365.4703416666666,225.62957500000002,0.04,-0.24,1.015,-0.6266666666666666
1999,-20.8629,87.6685,-382.72445,241.90058333333332,0.06,-0.24,1.0641666666666667,-0.6716666666666667
2000,-24.1623,85.5222,-405.37454166666663,256.913275,0.07,-0.24,1.1266666666666667,-0.715
2001,-31.4802,86.0038,-433.50075,270.8589416666667,0.09000000000000001,-0.24,1.2041666666666666,-0.7516666666666666
2002,-32.398783333333334,84.3981,-464.1977583333333,283.98240833333335,0.08750000000000001,-0.23583333333333334,1.2891666666666668,-0.7883333333333334
2003,-70.22789166666666,93.71081666666667,-516.9868166666666,297.7919,0.19583333333333333,-0.2591666666666667,1.4358333333333333,-0.8283333333333333
2004,-67.72221666666667,93.377475,-588.326725,312.05722499999996,0.1875,-0.26,1.6341666666666665,-0.8675
2005,-57.02005833333333,91.31306666666667,-648.7669666666667,325.4166916666666,0.15916666666666668,-0.25333333333333335,1.8025,-0.9041666666666667
2006,-84.65093333333333,93.116675,-718.8013166666666,338.247725,0.23500000000000001,-0.26,1.9958333333333333,-0.94
2007,-114.4504,91.04519166666667,-821.701525,350.53991666666667,0.31583333333333335,-0.25166666666666665,2.283333333333333,-0.9741666666666666
2008,-110.96596666666666,101.11410000000001,-934.4690416666667,363.46829166666663,0.3075,-0.28,2.595833333333333,-1.0083333333333333
2009,-110.27319166666666,107.4848,-1044.0487083333335,378.2478416666667,0.30583333333333335,-0.29833333333333334,2.9008333333333334,-1.0508333333333335
2010,-143.253725,102.46772499999999,-1171.273575,393.05315833333333,0.39999999999999997,-0.2841666666666667,3.2525,-1.0916666666666668
2011,-171.28459999999998,96.02930833333333,-1332.8661583333333,404.87523333333337,0.47583333333333333,-0.265,3.7016666666666667,-1.125
2012,-167.7368,96.023125,-1498.6771833333332,416.54044999999996,0.4658333333333333,-0.26666666666666666,4.161666666666666,-1.1575
2013,-187.30759166666667,93.43693333333334,-1679.1606333333332,426.760025,0.52,-0.25833333333333336,4.664166666666667,-1.1849999999999998
2014,-200.78244166666664,90.67675000000001,-1873.7425666666668,436.6852666666667,0.5566666666666668,-0.2508333333333333,5.204166666666667,-1.2125
2015,-128.11629166666668,97.27760833333333,-2036.8578333333335,446.50645833333334,0.3558333333333333,-0.27,5.659166666666667,-1.24
2016,-63.91826666666666,100.97165833333334,-2130.8983,457.67330833333335,0.17666666666666667,-0.2808333333333333,5.918333333333333,-1.2725
2017,-76.40622499999999,107.39896666666665,-2200.492225,469.426475,0.2125,-0.2975,6.1125,-1.3041666666666667
2018,-175.58020833333333,110.71959166666666,-2322.0971583333335,481.69800000000004,0.4875,-0.30833333333333335,6.449166666666667,-1.3383333333333336
2019,-167.66054166666666,135.00045,-2503.671825,497.6210416666667,0.4666666666666666,-0.3758333333333333,6.955000000000001,-1.3825
2020,-92.84705833333332,156.55940833333335,-2630.81115,518.8227916666666,0.2575,-0.435,7.31,-1.4416666666666667
